蜡烛	858.005630478	139
微博	840.703565116	528
百度	794.655582875	371
我们	790.692876481	878
中国	788.839848199	440
自己	787.917359689	777
没有	735.932758646	655
大家	735.885617489	701
电影	734.261837684	262
数据	729.483494545	281
爱你	723.216170207	267
不是	721.647663864	600
就是	720.590693009	624
什么	718.098059091	847
可以	717.292646657	826
分享	713.11517184	554
问题	707.923407934	347
今天	696.61716786	622
工作	693.933745207	325
时候	689.043973175	482
手机	687.527988803	289
这个	686.404164385	751
还是	681.659894657	484
喜欢	680.100263183	343
孩子	675.919312223	171
知道	670.192911259	474
你们	665.570252646	340
时间	658.529812489	401
他们	647.486728301	267
一起	647.040618521	391
微软	642.443917536	192
第一	640.760997422	394
我在	637.738554407	841
北京	636.570215927	307
现在	635.922798832	411
回复	635.230152034	342
是一	634.915666209	364
了一	633.777323016	439
这里	632.002624414	423
公司	628.373189492	258
研究	627.724634627	231
在这	622.862053445	436
技术	621.445565748	262
嘻嘻	620.483430905	292
呵呵	617.111754389	188
已经	616.117973366	396
朋友	614.075109974	319
怎么	612.053842136	378
开始	611.713167631	359
生活	611.464776386	292
世界	609.952959735	315
都是	603.962346623	342
不要	601.338838588	304
个人	599.582532461	285
这么	597.85715002	340
一下	597.750671177	354
如果	597.345865398	306
觉得	596.794006818	341
看到	596.31979598	343
用户	595.839373443	184
需要	591.32374179	281
希望	588.702055734	293
红包	587.904894041	124
这样	585.749849409	331
一个	584.553721534	1171
美国	581.307006067	201
学习	579.196786942	234
因为	578.120067868	301
很多	571.431265985	284
还有	571.260267651	314
是我	570.319786794	280
一次	569.218181349	281
发现	568.901799039	298
大学	566.136045303	206
如何	560.108500139	257
起来	559.984842941	298
有一	559.366630893	285
同学	557.76817697	235
互联	557.649063584	177
转发	554.183418745	245
联网	550.585694103	172
到了	545.447585042	300
这是	544.726732946	292
推荐	543.358745679	267
在这里	542.619326158	308
互联网	541.622528142	170
一定	540.722731244	273
我在这	537.611278858	306
不能	537.544861013	260
偷笑	536.706273152	193
支持	531.065605845	239
是不	526.509101781	265
活动	522.855781668	230
重要	515.812337031	203
不会	514.887445324	241
更多	514.538075602	232
关注	512.320831871	206
可能	511.711103232	214
信息	511.017958529	209
老师	507.654598234	182
伙伴	503.566325734	248
我在这里	501.890967232	263
小时	500.053599622	194
但是	499.96144568	240
一样	498.673757806	222
非常	498.06172136	190
不错	496.234349593	232
应该	495.592637082	221
快乐	495.533260537	196
下载	494.219814147	201
感觉	494.139916132	234
出来	493.912754897	209
谢谢	491.652669362	213
小伙	491.174145925	231
视频	490.132588292	193
人生	487.455485122	211
服务	487.272019044	157
不知	487.098011934	231
游戏	485.630663826	123
产品	483.819356523	154
机会	479.024277007	195
小伙伴	476.851739041	221
来自	473.788432562	226
鼓掌	472.921737941	108
也不	472.744005584	225
为什	472.401821565	195
一天	471.4482578	208
那么	471.395507264	204
为什么	469.050749481	192
各种	468.96863233	184
其实	468.132205037	203
设计	466.855217272	148
子胖子	463.790051776	1
胖子胖子	463.790051776	1
胖子胖	463.790051776	1
这种	462.326351218	190
最后	461.494954962	199
使用	460.747766463	171
别人	460.685724261	167
开发	459.641537839	136
测试	459.477426871	95
一直	458.676092699	210
看看	456.353009902	206
胖子胖子胖	456.30956707	1
子胖子胖子	456.30956707	1
子胖子胖	456.30956707	1
获得	455.540676876	188
挖鼻	454.808500245	168
文章	454.475121721	138
真是	454.409338349	210
招聘	453.229695942	151
事情	452.382911282	166
所有	450.844240742	184
快来	450.018791536	208
所以	447.994492466	193
通过	447.26958426	181
然后	447.040984857	177
不过	446.048038397	197
来了	445.50880051	189
学生	442.473810166	158
为了	438.141633561	181
幸福	436.531069456	136
鼻屎	436.233666457	155
欢迎	434.807301626	182
东西	433.599813705	168
一种	430.779016636	147
终于	430.254345588	182
计算	429.651696939	125
都不	428.612163958	188
挖鼻屎	428.597647249	151
照片	427.966472127	158
子胖	427.602264107	2
地震	427.197637062	55
只有	426.516395441	179
也是	425.923202309	184
开心	423.750053526	164
体验	423.334716786	160
不同	420.824610923	132
一些	420.065272925	163
安全	419.941755303	116
系统	419.60196361	133
每天	419.174249333	155
旅行	418.599700233	93
成功	417.439979348	161
有人	417.404550622	150
免费	415.988430893	136
网络	415.459090642	130
