一个	1409	1171
我们	1125	878
什么	972	847
自己	955	777
可以	939	826
我在	855	841
这个	799	751
大家	793	701
没有	739	655
微博	694	528
就是	690	624
不是	666	600
今天	665	622
分享	613	554
中国	566	440
时候	529	482
还是	525	484
百度	508	371
知道	508	474
了一	454	439
在这	444	436
时间	443	401
这里	441	423
现在	435	411
问题	434	347
一起	428	391
第一	426	394
喜欢	414	343
已经	411	396
工作	409	325
你们	403	340
是一	401	364
数据	396	281
怎么	396	378
回复	386	342
电影	384	262
开始	383	359
爱你	382	267
手机	379	289
一下	371	354
都是	367	342
北京	363	307
看到	363	343
这么	362	340
觉得	362	341
朋友	358	319
世界	353	315
这样	349	331
嘻嘻	344	292
他们	342	267
不要	341	304
如果	340	306
生活	339	292
蜡烛	337	139
还有	330	314
个人	328	285
希望	327	293
公司	326	258
因为	326	301
技术	325	262
需要	321	281
发现	319	298
起来	314	298
很多	312	284
在这里	310	308
一次	309	281
是我	309	280
研究	308	231
到了	307	300
有一	306	285
我在这	306	306
这是	302	292
如何	290	257
微软	289	192
一定	289	273
孩子	289	171
推荐	287	267
学习	286	234
不能	280	260
转发	280	245
是不	277	265
同学	276	235
呵呵	275	188
美国	267	201
支持	265	239
用户	263	184
我在这里	263	263
大学	263	206
不会	258	241
活动	256	230
伙伴	256	248
更多	253	232
但是	250	240
感觉	244	234
不错	244	232
可能	242	214
偷笑	242	193
互联	242	177
小伙	241	231
一样	240	222
信息	239	209
不知	239	231
应该	238	221
重要	238	203
关注	238	206
联网	236	172
谢谢	232	213
互联网	231	170
出来	231	209
来自	230	226
也不	229	225
小伙伴	229	221
人生	229	211
下载	227	201
小时	226	194
快乐	225	196
老师	223	182
非常	223	190
视频	221	193
红包	221	124
一天	220	208
那么	218	204
机会	217	195
其实	216	203
一直	215	210
为什	214	195
真是	213	210
看看	212	206
最后	211	199
为什么	211	192
快来	210	208
这种	207	190
各种	207	184
不过	203	197
获得	203	188
所以	202	193
服务	201	157
所有	199	184
来了	199	189
产品	198	154
使用	197	171
通过	196	181
别人	195	167
然后	194	177
挖鼻	193	168
